Date;Open;High;Low;Close*;Adj Close**;Volume
Dec 14, 2022;80.34;83.14;80.13;82.70;82.70;30,052
Dec 13, 2022;78.19;81.28;78.04;80.68;80.68;30,052
Dec 12, 2022;76.67;78.58;75.26;77.99;77.99;23,02
Dec 09, 2022;76.73;77.47;75.11;76.10;76.10;24,479
Dec 08, 2022;77.49;79.18;75.76;76.15;76.15;33,131
Dec 07, 2022;79.79;80.48;76.94;77.17;77.17;26,919
Dec 06, 2022;83.09;83.67;78.71;79.35;79.35;26,68
Dec 05, 2022;85.52;88.43;82.54;82.68;82.68;25,039
Dec 02, 2022;87.13;87.89;85.19;85.57;85.57;23,562
Dec 01, 2022;86.60;89.41;86.25;86.88;86.88;23,123
Nov 30, 2022;83.58;85.82;83.51;85.43;85.43;23,71
Nov 29, 2022;82.33;86.00;82.19;83.03;83.03;12,182
Nov 28, 2022;83.80;84.05;80.64;83.19;83.19;12,583
Nov 25, 2022;84.94;86.90;83.56;83.63;83.63;12,021
Nov 24, 2022;-;-;-;-;-;-
Nov 23, 2022;88.41;89.54;84.12;85.41;85.41;27,071
Nov 22, 2022;87.65;89.88;87.37;88.36;88.36;23,782
Nov 21, 2022;87.80;88.04;82.32;87.45;87.45;39,835
Nov 18, 2022;89.98;90.61;85.79;87.62;87.62;34,614
Nov 17, 2022;92.80;92.88;89.54;89.78;89.78;29,012
Nov 16, 2022;93.76;94.78;91.68;92.86;92.86;22,376
Nov 15, 2022;92.53;95.75;91.53;93.86;93.86;30,904
Nov 14, 2022;95.97;96.92;92.49;93.14;93.14;22,959
Nov 11, 2022;93.27;96.92;93.27;95.99;95.99;23,629
Nov 10, 2022;92.54;94.31;91.69;93.67;93.67;31,486
Nov 09, 2022;95.01;95.69;92.30;92.65;92.65;26,729
Nov 08, 2022;98.00;98.27;94.98;95.36;95.36;28,901
Nov 07, 2022;97.78;99.56;96.70;97.92;97.92;22,568
Nov 03, 2022;94.48;98.82;94.34;98.57;98.57;31,256
Nov 02, 2022;95.66;95.94;94.16;94.67;94.67;21,292
Nov 01, 2022;94.67;96.47;93.99;96.16;96.16;28,689
Oct 31, 2022;92.80;95.55;92.36;94.65;94.65;21,355
Oct 30, 2022;96.00;96.00;94.32;94.83;94.83;23,096
Oct 27, 2022;96.78;96.89;95.00;95.77;95.77;12,135
Oct 26, 2022;96.16;97.28;95.08;96.96;96.96;14,677
Oct 25, 2022;93.25;96.19;92.04;95.69;95.69;15,637
Oct 24, 2022;93.56;94.37;91.63;93.52;93.52;22,553
Oct 23, 2022;93.61;94.44;91.21;93.26;93.26;28,074
Oct 20, 2022;92.79;93.80;91.02;93.50;93.50;26,861
Oct 19, 2022;92.51;94.77;91.92;92.38;92.38;40,748
Oct 18, 2022;90.79;92.84;89.38;92.41;92.41;43,364
Oct 17, 2022;92.02;92.65;88.77;90.03;90.03;40,941
Oct 16, 2022;91.71;93.23;90.84;91.62;91.62;23,783
Oct 13, 2022;94.75;95.11;91.27;91.63;91.63;29,344
Oct 12, 2022;92.47;94.90;91.09;94.57;94.57;32,826
Oct 11, 2022;93.69;95.17;91.58;92.45;92.45;29,821
Oct 10, 2022;96.15;96.45;93.11;94.29;94.29;31,431
Oct 09, 2022;98.70;98.76;95.62;96.19;96.19;24,699
Oct 06, 2022;94.99;98.59;93.93;97.92;97.92;36,871
Oct 05, 2022;93.83;95.01;92.73;94.42;94.42;26,2
Oct 04, 2022;91.65;93.97;90.90;93.37;93.37;39,563
Oct 03, 2022;88.89;92.39;88.69;91.80;91.80;38,971
Oct 02, 2022;86.51;89.83;86.51;88.86;88.86;38,251
Sep 29, 2022;88.56;89.52;87.85;87.96;87.96;33,026
Sep 28, 2022;88.95;90.10;87.45;88.49;88.49;7,456
Sep 27, 2022;85.83;89.49;84.27;89.32;89.32;9,937
Sep 26, 2022;83.91;87.13;83.91;86.27;86.27;10,008
Sep 25, 2022;86.72;87.66;83.63;84.06;84.06;14,034
Sep 22, 2022;90.35;90.71;85.46;86.15;86.15;18,951
Sep 21, 2022;89.92;92.80;89.29;90.46;90.46;22,375
Sep 20, 2022;90.69;93.51;89.30;89.83;89.83;27,621
Sep 19, 2022;91.97;93.02;89.80;90.62;90.62;24,688
Sep 18, 2022;91.65;92.58;88.48;92.00;92.00;17,627
Sep 15, 2022;90.65;92.64;90.22;91.35;91.35;20,652
Sep 14, 2022;94.43;94.65;90.05;90.84;90.84;29,483
Sep 13, 2022;93.49;95.81;91.95;94.10;94.10;30,88
Sep 12, 2022;94.21;95.51;91.07;93.17;93.17;27,762
Sep 11, 2022;92.30;95.17;91.21;94.00;94.00;22,758
Sep 08, 2022;88.46;93.10;88.32;92.84;92.84;22,448
Sep 07, 2022;87.64;89.83;87.23;89.15;89.15;21,562
Sep 06, 2022;92.80;93.79;87.40;88.00;88.00;28,966
Sep 05, 2022;93.09;96.99;92.28;92.83;92.83;34,757
Sep 04, 2022;-;-;-;-;-;-
Sep 01, 2022;92.00;95.32;92.00;93.02;93.02;22,869
Aug 31, 2022;94.78;95.66;91.81;92.36;92.36;22,87
Aug 30, 2022;99.71;100.30;95.76;96.49;96.49;24,672
Aug 29, 2022;105.00;105.37;97.67;99.31;99.31;7,116
Aug 28, 2022;100.83;105.48;100.29;105.09;105.09;6,048
Aug 25, 2022;99.88;101.17;98.14;100.99;100.99;14,241
Aug 24, 2022;101.60;102.47;99.12;99.34;99.34;20,704
Aug 23, 2022;100.16;102.00;99.07;101.22;101.22;24,49
Aug 22, 2022;96.58;100.45;96.51;100.22;100.22;22,624
Aug 21, 2022;95.66;97.25;92.36;96.48;96.48;26,974
Aug 18, 2022;96.63;97.87;94.25;96.72;96.72;22,212
Aug 17, 2022;93.18;97.41;93.05;96.59;96.59;21,327
Aug 16, 2022;92.77;94.46;91.52;93.65;93.65;21,011
Aug 15, 2022;93.64;95.95;91.72;92.34;92.34;22,549
Aug 14, 2022;97.76;98.04;92.72;95.10;95.10;20,714
Aug 11, 2022;99.29;100.35;96.94;98.15;98.15;20,095
Aug 10, 2022;97.27;100.16;96.65;99.60;99.60;20,958
Aug 09, 2022;96.46;97.98;93.61;97.40;97.40;29,52
Aug 08, 2022;96.54;98.39;94.91;96.31;96.31;20,553
Aug 07, 2022;94.27;96.73;92.99;96.65;96.65;17,288
Aug 04, 2022;93.59;96.40;92.75;94.92;94.92;16,576
Aug 03, 2022;97.01;97.63;93.15;94.12;94.12;21,011
Aug 02, 2022;99.64;102.37;96.48;96.78;96.78;22,263
Aug 01, 2022;100.00;102.41;98.47;100.54;100.54;17,357
Jul 31, 2022;103.87;104.37;99.10;100.03;100.03;25,67
Jul 28, 2022;108.05;110.43;108.03;110.01;110.01;24,476
