Date;Open;High;Low;Close*;Adj Close**;Volume
Dec 01, 2022;86.60;89.41;75.11;82.70;82.70;266,057
Oct 31, 2022;92.80;99.56;80.64;85.43;85.43;526,954
Sep 30, 2022;86.51;98.76;86.51;94.83;94.83;619,846
Aug 31, 2022;94.78;96.99;83.63;87.96;87.96;470,73
Jul 31, 2022;103.87;105.48;91.52;96.49;96.49;465,973
Jun 30, 2022;109.46;114.69;94.50;110.01;110.01;430,112
May 31, 2022;116.63;125.18;107.03;114.81;114.81;447,644
Mar 31, 2022;107.67;114.82;97.62;109.34;109.34;311,73
Mar 01, 2022;100.85;137.00;96.95;107.91;107.91;531,264
Feb 01, 2022;91.29;105.75;88.01;100.99;100.99;732,123
Jan 01, 2022;77.94;91.69;77.04;91.21;91.21;619,239
Dec 01, 2021;70.14;80.16;65.77;79.20;79.20;646,88
Oct 31, 2021;83.73;85.50;70.22;70.57;70.57;832,636
Sep 30, 2021;78.41;86.72;77.57;84.38;84.38;821,979
Aug 31, 2021;71.70;80.74;70.41;78.52;78.52;590,97
Jun 30, 2021;74.70;77.83;67.42;76.33;76.33;775,897
May 31, 2021;69.63;76.59;69.63;75.13;75.13;669,981
Apr 30, 2021;67.29;70.26;64.56;69.63;69.63;547,723
Mar 31, 2021;63.60;68.95;61.24;67.25;67.25;703,921
Mar 01, 2021;65.95;71.36;60.26;63.54;63.54;774,197
Feb 01, 2021;55.88;67.70;55.88;66.13;66.13;611,358
Jan 01, 2021;51.66;57.42;50.58;55.88;55.88;586,185
Dec 01, 2020;47.61;52.47;46.77;51.34;51.34;528,154
