Date;Open;High;Low;Close*;Adj Close**;Volume
Dec 12, 2022;76.67;83.14;75.26;82.70;82.70;83,124
Dec 05, 2022;85.52;88.43;75.11;76.10;76.10;136,248
Nov 28, 2022;83.80;89.41;80.64;85.57;85.57;95,16
Nov 21, 2022;87.80;89.88;82.32;83.63;83.63;102,709
Nov 14, 2022;95.97;96.92;85.79;87.62;87.62;139,865
Nov 07, 2022;97.78;99.56;91.69;95.99;95.99;133,313
Oct 30, 2022;96.00;98.82;92.36;98.57;98.57;125,688
Oct 23, 2022;93.61;97.28;91.21;95.77;95.77;93,076
Oct 16, 2022;91.71;94.77;88.77;93.50;93.50;175,697
Oct 09, 2022;98.70;98.76;91.09;91.63;91.63;148,121
Oct 02, 2022;86.51;98.59;86.51;97.92;97.92;179,856
Sep 25, 2022;86.72;90.10;83.63;87.96;87.96;74,461
Sep 18, 2022;91.65;93.51;85.46;86.15;86.15;111,262
Sep 11, 2022;92.30;95.81;90.05;91.35;91.35;131,535
Sep 04, 2022;93.09;96.99;87.23;92.84;92.84;107,733
Aug 28, 2022;100.83;105.48;91.81;93.02;93.02;83,575
Aug 21, 2022;95.66;102.47;92.36;100.99;100.99;109,033
Aug 14, 2022;97.76;98.04;91.52;96.72;96.72;107,813
Aug 07, 2022;94.27;100.35;92.99;98.15;98.15;108,414
Jul 31, 2022;103.87;104.37;92.75;94.92;94.92;102,877
Jul 24, 2022;103.44;110.43;101.67;110.01;110.01;77,572
Jul 17, 2022;100.92;107.60;99.48;103.20;103.20;110,29
Jul 10, 2022;106.76;107.66;94.50;101.16;101.16;109,537
Jul 03, 2022;111.61;114.69;98.47;107.02;107.02;115,623
Jun 26, 2022;112.46;120.38;108.01;111.63;111.63;64,094
Jun 19, 2022;113.80;116.25;107.03;113.12;113.12;117,903
Jun 12, 2022;121.69;125.18;111.72;113.12;113.12;122,213
Jun 05, 2022;121.35;124.41;118.56;122.01;122.01;105,833
May 29, 2022;119.47;124.13;112.48;119.72;119.72;55,829
May 22, 2022;112.74;119.73;111.72;119.43;119.43;70,46
May 15, 2022;111.41;115.66;105.70;112.55;112.55;108,382
May 08, 2022;113.05;113.22;100.93;111.55;111.55;137,685
May 01, 2022;109.36;113.99;104.62;112.39;112.39;118,519
Apr 24, 2022;105.74;109.77;99.47;109.34;109.34;45,429
Apr 17, 2022;111.89;114.82;104.67;106.65;106.65;72,387
Apr 10, 2022;103.07;112.39;97.62;111.70;111.70;86,227
Apr 03, 2022;104.25;109.85;98.45;102.78;102.78;90,543
Mar 27, 2022;120.31;120.31;104.98;107.67;107.67;44,011
Mar 20, 2022;107.37;123.70;107.09;120.65;120.65;66,932
Mar 13, 2022;112.90;113.04;96.95;107.93;107.93;89,525
Mar 07, 2022;121.24;137.00;107.13;112.67;112.67;159,835
Feb 28, 2022;100.48;119.77;99.90;118.11;118.11;188,553
Feb 21, 2022;94.28;105.75;92.56;97.93;97.93;164,237
Feb 14, 2022;95.31;96.78;90.26;93.54;93.54;219,259
Feb 07, 2022;92.73;95.64;89.93;94.44;94.44;207,343
Jan 31, 2022;90.80;93.70;88.01;93.27;93.27;140,954
Jan 24, 2022;87.65;91.69;85.02;90.03;90.03;119,579
Jan 17, 2022;86.50;89.51;85.55;87.89;87.89;175,418
Jan 10, 2022;81.79;86.50;80.49;86.06;86.06;159,344
Jan 03, 2022;77.94;82.99;77.04;81.75;81.75;164,78
Dec 27, 2021;76.30;80.16;75.76;79.20;79.20;53,519
Dec 20, 2021;73.06;76.98;69.26;76.85;76.85;120,393
Dec 13, 2021;75.54;76.39;72.48;73.52;73.52;141,145
Dec 06, 2021;70.30;76.70;70.29;75.15;75.15;150,304
Nov 29, 2021;73.59;77.00;65.77;69.88;69.88;271,866
Nov 22, 2021;78.67;83.00;72.11;72.72;72.72;171,589
Nov 15, 2021;81.92;83.14;78.05;78.89;78.89;171,279
Nov 08, 2021;82.57;85.50;81.26;82.17;82.17;157,253
Oct 31, 2021;83.73;85.22;80.19;82.74;82.74;242,168
Oct 24, 2021;85.71;86.72;82.31;84.38;84.38;146,477
Oct 17, 2021;85.05;86.12;83.36;85.53;85.53;218,579
Oct 10, 2021;82.59;85.10;82.21;84.86;84.86;203,553
Oct 03, 2021;79.36;83.44;78.76;82.39;82.39;221,673
Sep 26, 2021;78.23;80.74;77.53;79.28;79.28;133,547
Sep 19, 2021;75.39;78.25;73.25;78.09;78.09;127,245
Sep 12, 2021;73.05;76.13;72.70;75.34;75.34;143,531
Sep 05, 2021;72.69;73.19;70.89;72.92;72.92;128,725
Aug 29, 2021;73.59;73.70;70.41;72.61;72.61;121,843
Aug 22, 2021;65.18;72.74;64.83;72.70;72.70;138,301
Aug 15, 2021;70.22;70.40;64.80;65.18;65.18;159,884
Aug 08, 2021;70.06;71.89;67.61;70.59;70.59;157,303
Aug 01, 2021;75.18;75.33;69.75;70.70;70.70;192,386
Jul 25, 2021;74.17;76.39;72.75;76.33;76.33;115,596
Jul 18, 2021;73.00;74.21;67.42;74.10;74.10;203,216
Jul 11, 2021;75.64;76.71;72.34;73.59;73.59;189,53
Jul 04, 2021;76.09;77.83;72.10;75.55;75.55;184,178
Jun 27, 2021;76.16;76.75;73.91;76.17;76.17;148,773
Jun 20, 2021;73.33;76.21;72.98;76.18;76.18;169,079
Jun 13, 2021;72.49;74.96;72.00;73.51;73.51;168,803
Jun 06, 2021;71.70;73.08;70.72;72.69;72.69;155,392
May 30, 2021;69.63;72.17;69.63;71.89;71.89;111,311
May 23, 2021;66.64;69.83;66.47;69.63;69.63;78,281
May 16, 2021;68.86;70.24;64.56;66.44;66.44;181,684
May 09, 2021;68.62;70.26;66.47;68.71;68.71;173,807
May 02, 2021;67.29;69.96;67.29;68.28;68.28;113,951
Apr 25, 2021;66.02;68.95;64.57;67.25;67.25;96,701
Apr 18, 2021;66.69;68.08;64.58;66.11;66.11;141,817
Apr 11, 2021;63.02;67.38;62.41;66.77;66.77;146,788
Apr 04, 2021;64.81;64.81;61.24;62.95;62.95;185,185
Mar 28, 2021;64.04;65.65;63.14;64.86;64.86;156,613
Mar 21, 2021;64.66;65.07;60.26;64.57;64.57;160,553
Mar 14, 2021;69.12;70.02;61.42;64.53;64.53;211,069
Mar 08, 2021;69.90;71.36;66.52;69.22;69.22;163,582
Mar 01, 2021;65.95;69.69;62.34;69.36;69.36;215,81
Feb 22, 2021;62.73;67.70;62.59;66.13;66.13;105,753
Feb 15, 2021;62.77;65.49;62.11;62.91;62.91;210,394
Feb 08, 2021;59.56;62.83;59.55;62.43;62.43;143,774
Feb 01, 2021;55.88;59.79;55.88;59.34;59.34;151,437
Jan 25, 2021;55.20;56.59;55.09;55.88;55.88;70,937
Jan 18, 2021;54.74;56.62;54.49;55.41;55.41;126,566
Jan 11, 2021;56.21;57.42;54.65;55.10;55.10;158,076
Jan 04, 2021;51.66;56.30;50.58;55.99;55.99;230,606
Dec 28, 2020;51.20;52.02;50.52;51.34;51.34;33,818
Dec 21, 2020;52.31;52.34;49.18;51.29;51.29;86,433
Dec 14, 2020;50.06;52.47;49.18;52.26;52.26;128,545
Dec 07, 2020;49.23;51.07;48.11;49.97;49.97;143,673
Nov 30, 2020;47.75;49.86;46.77;49.25;49.25;136,209
Nov 23, 2020;45.13;49.07;44.90;48.18;48.18;104,421
Nov 16, 2020;42.73;45.19;42.64;44.96;44.96;144,621
Nov 09, 2020;39.70;45.31;39.61;42.78;42.78;211,491
Nov 02, 2020;37.46;41.52;37.46;39.45;39.45;183,356
Oct 25, 2020;41.63;41.63;36.68;37.46;37.46;91,524
Oct 18, 2020;42.74;43.31;41.46;41.77;41.77;146,42
Oct 11, 2020;42.42;43.60;41.56;42.93;42.93;93,14
